"filename", "language", "JSON", "HTML", "Properties", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\components\Register\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 1, 16, 204
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\components\TrainSearch\TrainSearch.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 29, 11, 107
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\components\TrainSearch\TrainSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 17, 118
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\components\TrainsList\TrainsList.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 7, 12, 80
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\components\TrainsList\TrainsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 8, 53
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\tsconfig.node.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\vite.config.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\.env", "Properties", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\controllers\auth.controllers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 1, 9, 69
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\controllers\train.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 2, 3, 42
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 5, 25
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\middlewares\auth.middleware.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 4, 22
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\models\reserve.model.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\models\stations.model.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\models\train.model.js", "JavaScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\models\user.model.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\routes\auth.routes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\routes\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10, 6, 26
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\routes\train.routes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\package.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"Total", "-", 76, 17, 2, 5, 23, 22, 225, 646, 550, 2, 108, 241, 1917
