"filename", "language", "JSON", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "Markdown", "XML", "Properties", "comment", "blank", "total"
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\vite.config.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\config\RailwayReservationDB.trains.json", "JSON", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\controllers\auth.controllers.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 1, 9, 69
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\controllers\seatsAvail.controllers.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 2, 47
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\controllers\stations.controllers.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\controllers\tickets.controllers.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 7, 7, 83
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\controllers\train.controller.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 5, 45
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\index.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 5, 25
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\middlewares\auth.middleware.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 4, 22
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\models\stations.model.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\models\tickets.model.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 3, 74
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\models\train.model.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\models\user.model.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\routes\auth.routes.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\routes\index.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 10, 7, 36
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\routes\reserve.routes.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 6, 11, 66
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\routes\seatsAvail.routes.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\routes\stations.routes.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\routes\tickets.routes.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\Server\routes\train.routes.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\package.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"Total", "-", 156, 17, 480, 5, 23, 1123, 911, 22, 2, 2, 176, 382, 3299
